uuid|name|city|wifi|seat|quiet|tasty|cheap|music|url|address|limited_time|socket|standing_desk|latitude|longitude
0022fc3b-598f-4bb5-bb69-1b7d1b9b5202|The Kaffa Lovers|taipei|5|5|4|5|4|5|https://www.facebook.com/thekaffalovers/?fref=ts|台北市中正區金山北路3號|no|yes|yes|25.04435400|121.53045590
0149c291-311d-4eae-8bf3-0e4ebbf0763c|Caffe Ruelle 巷子壹|taipei|4|3|3|4|4|4|http://m.facebook.com/CaffeRuelle/|台北市士林區至誠路二段31之1號|no|no|yes|25.10177580|121.52927490
01af53e4-5472-45ef-b05b-2e642ea61639|啡創工廠 Future Factory|taipei|5|4.5|4|5|4|4|https://www.facebook.com/future.factory.coffee|台北市大同區民族西路31巷18號|maybe|yes|yes|25.06916700|121.51959800
01e30e06-56c2-46fd-89fe-a5566d63c16b|Hope tree希望樹咖啡館|taipei|5|5|5|5|5|5|https://www.facebook.com/HopeTreeCoffee/|新北市三峽區大德路200 號|no|maybe|no|24.94674360|121.37493770
02021526-870d-41dc-8431-cf6896f6a6a6|好逗點|taipei|4|5|4|5|5|5|http://ppt.cc/Rmf5E|新北市汐止區大同路二段579號1樓|no|yes|no|25.07026990|121.66332820
02069f28-9c72-4e46-adbc-939428803f0e|BUTTER CAFE|taipei|5|4|4|4|4|5||台北市忠孝東路四段122-1號2樓|maybe|yes|yes|25.04127000|121.54727300
0229ffc1-3917-4999-ba50-6c67c81acd6c|三宜咖啡館 Triple E Cafe|taipei|3|4|3|4|4|4|https://m.facebook.com/tripleEcafe/?locale2=zh_TW|台北市北投區大業路719-1號1樓（捷運新北投站）||||25.13748390|121.50208500
029b75ed-a77f-484c-8428-042dedb59d5f|UNI CAFE|taipei|4.5|4.5|4.5|4|4.5|4.5|http://www.unicafe.com.tw/|台北市中正區金門街15號|no|no|no|25.02210990|121.52182560
02b2105b-e7d9-401a-909f-e50434bb37ac|不如咖啡BLUBLU Kafe|taipei|5|5|5|5|5|5|https://www.facebook.com/BLU-BLU-Kafe-%E4%B8%8D%E5%A6%82%E5%92%96%E5%95%A1-958742307501571/|新北市三重區集英路126號|no|yes|no|25.08739490|121.48493280
0351559f-090a-4ba5-a9f5-f821be0fbf2d|TRIBU CAFE (森優咖啡）|taipei|5|5|4|5|5|4|https://www.facebook.com/tribucafe74/|110台北市信義區崇德街74號|no||no|25.02414100|121.55474000
04111f17-09e5-4989-b31f-974fa2406518|牧童咖啡 mutto coffee(福德店)|taipei|5|4|4|5|5|5|https://www.facebook.com/muttocoffee|新北市汐止區福德一路106巷9號|no|yes|no|25.06967790|121.63893710
04425079-f72b-4dbf-a835-b8a5036b7815|IT Cafe|taipei|5|5|4|3|1|3|https://www.facebook.com/itcafe2/?fref=ts|台北市中山區明水路575號.B1|no|yes|yes|25.07983050|121.55191340
04f6eeb6-ece6-4510-ba24-c3fbf1eb1ef8|翠活輕飲食CheerLife|taipei|5|4.5|5|3.5|4.5|4.5|https://www.facebook.com/cheerlife1314/|新北市板橋區陽明街72號|no|yes|no|25.02266800|121.46469300
